job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform,city,province,salary_visible,salary_min,salary_max,title_length,requirements_length
Backend Developer,PT Pronata Data Insani,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+3 | Go / Golang,3 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,0,0,0,17,16
Backend Developer,PT Inovasi Teknokarya Nusantara,"Bandung,Jawa Barat","Rp 1,9 jt-2,1 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Hybrid | +7,2 hari yang lalu,glints,Bandung,Jawa Barat,1,1900000,2100000,17,11
Backend Developer,PT Gemilang Bisnis Universal,"Tangerang Selatan,Banten",Rp 7 jt-10 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Python | +6,2 hari yang lalu,glints,Tangerang Selatan,Banten,1,7000000,10000000,17,11
Backend Developer,PT. ASABA DIGITAL INNOTECH,"Jakarta Selatan,DKI Jakarta",Rp 7 jt-11 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | Go / Golang,6 jam yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,7000000,11000000,17,16
Backend Developer,ADI Consulting,"Tangerang Selatan,Banten",Rp 11 jt-15 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Warehouse Management | +3,4 hari yang lalu,glints,Tangerang Selatan,Banten,1,11000000,15000000,17,25
Backend Golang Developer,PT Aktualisasi Gratia Talenta Indonesia,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,5–10 tahun,Minimal Diploma (D1 - D4),+5 | Remote/Dari rumah,4 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,0,0,0,24,22
Backend Developer (Intermediate/Senior Backend Developer),PT YAKIN BERTUMBUH SEKURITAS,"Surabaya,Jawa Timur",Rp 7 jt-8 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+5 | Go / Golang,10 hari yang lalu,glints,Surabaya,Jawa Timur,1,7000000,8000000,57,16
Backend Developer (Golang),PT Inosoft Trans Sistem,"Surabaya,Jawa Timur",Rp 7 jt-10 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),+4 | Remote/Dari rumah,17 hari yang lalu,glints,Surabaya,Jawa Timur,1,7000000,10000000,26,22
Backend Developer,Komerce,"Kab. Purbalingga,Jawa Tengah",Rp 2 jt-5 jt,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),+2 | Go / Golang | RabbitMQ,Kemarin,glints,Kab. Purbalingga,Jawa Tengah,1,2000000,5000000,17,27
Golang Developer Backend,PT Entrepreneur Trust Digital,"Jakarta Pusat,DKI Jakarta",Rp 8 jt-11 jt,Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),+5 | Docker,Kemarin,glints,Jakarta Pusat,DKI Jakarta,1,8000000,11000000,24,11
Backend Developer,PT GDC Multi Sarana (Jakarta),"Jakarta Selatan,DKI Jakarta",Rp 10 jt-15 jt,Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+4 | PostgreSQL,12 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,10000000,15000000,17,15
BACKEND DEVELOPER,ITOMMEY Bintang Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6 jt-7,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Python | +3,28 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,6000000,7500000,17,11
Backend Developer,PT Intersolusi Teknologi Asia (BTS.id),"Bandung,Jawa Barat","Rp 5 jt-7,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Angular.js | +19,14 jam yang lalu,glints,Bandung,Jawa Barat,1,5000000,7500000,17,16
Backend Developer,Pt Eigen Trimathema,"Bandung,Jawa Barat",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+9 | Time Management,3 hari yang lalu,glints,Bandung,Jawa Barat,1,5000000,7000000,17,20
Scala/Java Backend Developer,Nolimit Indonesia,"Bandung,Jawa Barat","Rp 4,8 jt-7,2 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),+4 | Java,8 hari yang lalu,glints,Bandung,Jawa Barat,1,4800000,7200000,28,9
Backend Java Developer,Cyber Olympus,"Kab. Sleman,DI Yogyakarta",Rp 24 jt-28 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),PostgreSQL | +12,2 hari yang lalu,glints,Kab. Sleman,DI Yogyakarta,1,24000000,28000000,22,16
Backend Developer (.NET),PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta","Rp 5 jt-8,5 jt",Kontrak,3–5 tahun,Minimal Sarjana (S1),+5 | NoSQL,3 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,5000000,8500000,24,10
