job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform
Motion Graphic Designer,Nodewave Indonesia,"Jakarta Barat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),+1 | Adobe Illustrator | Adobe Photoshop,2 hari yang lalu,glints
3D Product Designer,Otoproject Group,"Jakarta Utara,DKI Jakarta","Rp 5 jt-5,5 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+2 | 3D Modeling,Kemarin,glints
Product Designer Intern,PT Boogie Apparel Indonesia,"Bogor,Jawa Barat","Rp 1 jt-1,5 jt",Magang,Not Specified,Minimal Sarjana (S1),+2 | Fashion Design | Product Design,11 hari yang lalu,glints
Product Designer & Product Development Kosmetik,Cindynal,"Tangerang,Banten",Rp 3 jt-5 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,"Tren Pasar Kosmetik Dan Skincare Terkini | +4 | Adobe Illustrator, Adobe Photoshop, Figma, Dan/atau Canva",9 hari yang lalu,glints
Graphic Designer,NCY,"Kab. Tangerang,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+2 | Adobe Photoshop,Urgent2 hari yang lalu,glints
(Interior Furniture) Product Designer,Group BIKA,"Tangerang Selatan,Banten","Rp 5,5 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Product Design,9 hari yang lalu,glints
Freelance Graphic Designer,PT Computrade Technology International,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Freelance,1–3 tahun,Minimal Diploma (D1 - D4),Hybrid | +3,16 hari yang lalu,glints
R&D Graphic Designer (Custom Case Product Development),Caselify,"Jakarta Barat,DKI Jakarta",Rp 3 jt-4 jt,Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+6 | Adobe Illustrator,UrgentKemarin,glints
Freelance Graphic Designer,Kumparan,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Freelance,1–3 tahun,Minimal Diploma (D1 - D4),+4 | Remote/Dari rumah,8 hari yang lalu,glints
Freelance Graphic Designer,PT. Berkah Investasi Teknologi,"Kab. Sleman,DI Yogyakarta","Rp 1 jt-1,5 jt",Freelance,1–3 tahun,Minimal Sarjana (S1),Hybrid | +7,4 hari yang lalu,glints
Freelance Graphic Designer,PT. Badan Delight Connection Cosmetics Indonesia,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Freelance,Not Specified,Minimal Sarjana (S1),+2 | Hybrid | Adobe Photoshop,24 hari yang lalu,glints
Product Packaging Designer,Doner Dash,"Kab. Badung,Bali",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+4 | Adobe Photoshop,4 hari yang lalu,glints
