job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,cluster_prediction
Backend Developer - Internship,Peduly,"Surabaya,Jawa Timur",Rp 1 jt-1 jt,Magang,Not Specified,Minimal Sarjana (S1),+2 | Hybrid | Laravel Framework,2
[INTERN] Backend Developer,Meda,"Surabaya,Jawa Timur",Tidak Ditampilkan,Magang,Not Specified,Minimal Diploma (D1 - D4),+7 | HTTP | Go / Golang,1
Backend Developer Specialist,SIMANTEK,"Jakarta Pusat,DKI Jakarta",Rp 8 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),PostgreSQL | +8,0
Backend Developer - Internship,Rintisar,"Surabaya,Jawa Timur",Tidak Ditampilkan,Magang,Not Specified,Minimal Sarjana (S1),Hybrid | Laravel | +9,2
Frontend Developer,PT Code Development Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 7 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Front-End Architecture | +3,0
Frontend Developer,PT Pronata Data Insani,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),React Native | +7,0
Frontend Developer,Delta HQ,"Surabaya,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+2 | JavaScript,0
Frontend Developer,PT Talent Placement Consulting Indonesia,"Jakarta Utara,DKI Jakarta",Rp 7 jt-9 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+2 | Next.Js,0
Frontend Developer,GlobalXtreme,"Kab. Badung,Bali",Rp 6 jt-8 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+6 | React.js,0
Frontend Developer,PT. Barrans Global Mandiri,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),Vue.js | +9,0
Frontend Developer,PT KODE KOLEKTIF INDONESIA,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),Next.Js | +3,0
Frontend Developer,PT. Solusi Kode Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6,5 jt-8,5 jt",Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+13 | Remote/Dari rumah,0
Frontend Developer,Slameticon Digital Valley,"Kab. Banyumas,Jawa Tengah",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Next.Js | +8,0
Frontend Developer,PT Aktivitas Insani Madani (AKSIMA),"Kab. Ngawi,Jawa Timur","Rp 1,5 jt-2,5 jt",Penuh Waktu,Not Specified,Minimal Sarjana (S1),+4 | React.js | JavaScript,0
Frontend Developer,PT. Vlink Consulting Indonesia,"Jakarta Utara,DKI Jakarta",Rp 8 jt-15 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),PHP | +5,0
Frontend Developer,PT GDC Multi Sarana (Jakarta),"Jakarta Selatan,DKI Jakarta",Rp 10 jt-15 jt,Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+6 | Frontend Development,0
Frontend Developer (Remote),Digizone Clothing,"Kab. Bantul,DI Yogyakarta",Rp 3 jt-4 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+5 | Remote/Dari rumah,0
FrontEnd Developer Lead,PT. Barrans Global Mandiri,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,5–10 tahun,Minimal Sarjana (S1),React Native | +8,0
Frontend Engineer developer,PT Cakra Tekno Nusantara,"Kab. Tangerang,Banten","Rp 4,6 jt-7 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),HTML | +5,0
Frontend Developer Internship,PT RAHADHYAN INTEGRASI NUSANTARA (Ayo Satu) - Tasik,"Bandung,Jawa Barat","Rp 1 jt-1,5 jt",Magang,Not Specified,Minimal SMA/SMK,Hybrid | jQuery | +3,0
Frontend Developer - Internship,Peduly,"Surabaya,Jawa Timur",Rp 1 jt-1 jt,Magang,Not Specified,Minimal Sarjana (S1),+2 | Hybrid | Ionic Framework,2
"Frontend Developer (Reactjs, Nuxtjs)",PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta","Rp 5,8 jt-8 jt",Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Vue.js | +8,2
Internship - Frontend Developer (ReactJs),Sekawan Media,"Kab. Malang,Jawa Timur",Tidak Ditampilkan,Magang,Not Specified,Minimal SMA/SMK,Hybrid | +4 | MySQL,2
Frontend Developer — WordPress/WooCommerce & Shopify,The Loud Minority Communication,"Kab. Tangerang,Banten","Rp 5 jt-7,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Figma | +7,2
Frontend Developer - Banking Client,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta","Rp 6 jt-8,5 jt",Kontrak,3–5 tahun,Minimal Sarjana (S1),+2 | React.js,2
Frontend Programmer,IMAJIKU Website & Mobile Apps Developer,"Kab. Sleman,DI Yogyakarta","Rp 3,4 jt-5,1 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,Hybrid | +13,0
Frontend Android Developer,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 9 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+3 | Frontend Development,0
Frontend Developer for Banking Industry,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 9 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),jQuery | +8,0
Frontend & Mobile Developer,PT. ABADI PERKASA BERSAMA DIGITAL SOLUTIONS,"Kab. Tangerang,Banten","Rp 5 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Angular.js | +7,2
Frontend Engineer,Alphalitical,"Jakarta Selatan,DKI Jakarta",Rp 6 jt-7 jt,Kontrak,1–3 tahun,Minimal Sarjana (S1),Hybrid | +5,0
Frontend Engineer,PT. Suteki Karya Nusantara,"Bandung,Jawa Barat",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+9 | GIT,0
Frontend Developer (ReactJS) - (BSD Tangerang),Pt Platinumetrix Global Inovasi,"Jakarta Selatan,DKI Jakarta","Rp 6,5 jt-11 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),+2 | ReactJs,2
Fullstack Programmer (Frontend & Backend Developer),Edu Global School,"Bandung,Jawa Barat","Rp 4 jt-4,2 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),HTML | +9,2
Frontend Angular,UNICTIVE,"Jakarta Barat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+6 | CSS,0
Full Stack Developer,Pt Vanz Inovatif Teknologi (qbit),"Jakarta Selatan,DKI Jakarta",Rp 8 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+5 | React.js,0
Full Stack Developer,PT Nesta Indo Media,"Kab. Semarang,Jawa Tengah","Rp 2,8 jt-3,5 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+6 | React Js,0
Full Stack Developer,GlobalXtreme,"Kab. Badung,Bali",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,Go / Golang | +9,0
Full Stack Developer,PT Super Media Indonesia,"Depok,Jawa Barat",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+3 | PostgreSQL,0
FULL STACK DEVELOPER,PT. Golden Flexible Packaging,"Kab. Tangerang,Banten",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+3 | MySQL,0
Full Stack Developer,PT FOMO INOVASI TEKNOLOGI,"Bandung,Jawa Barat",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,PHP | +9,0
Full Stack Developer,Konten.com,"Tangerang,Banten","Rp 5 jt-7,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),JavaScript | +3,0
Full Stack Developer,Mitra Cakra Digital,"Kab. Bogor,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+9 | JavaScript,0
Full Stack Developer,SJA Textile Bandung,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+7 | Redis,0
Full Stack Developer,Pt Itpreneur Indonesia Technology,"Surabaya,Jawa Timur",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+9 | PostgreSQL,0
Full Stack Developer,Saraga Indonesia,"Jakarta Barat,DKI Jakarta","Rp 4,2 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Hybrid | +10,0
Full Stack Developer,IT Solution,"Kab. Sleman,DI Yogyakarta",Rp 2 jt-3 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,+2 | React.js | Laravel,0
Full Stack Developer,PT RIN Group,"Tangerang Selatan,Banten",Rp 8 jt-12 jt,Penuh Waktu,5–10 tahun,Minimal Diploma (D1 - D4),+11 | jQuery,0
Full Stack Developer,Iweka Digital Solusi,"Medan,Sumatera Utara",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+14 | MySQL,0
Full Stack Developer,PT INOVATOR DIGITAL NUSANTARA,"Cirebon,Jawa Barat","Rp 2,3 jt-3,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | JavaScript,0
Full Stack Developer,PT Panduwan Aditian Teknologi,"Jakarta Barat,DKI Jakarta","Rp 4,1 jt-6 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+7 | Go / Golang,0
Full Stack Developer,Putra Jasa International Patent,"Jakarta Utara,DKI Jakarta","Rp 5,2 jt-7,8 jt",Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+4 | Node.js,0
Full Stack Developer,PT. Fortech Indotama,"Jakarta Selatan,DKI Jakarta","Rp 6,4 jt-9,6 jt",Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),JavaScript | +3,0
Full Stack Developer,PT Ravelware Technology Indonesia,"Bekasi,Jawa Barat",Rp 6 jt-7 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),Hybrid | +6,0
Full Stack Developer,PT SPEND GROUP INTERNASIONAL,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+5 | JavaScript,0
Full Stack Developer,PT. Hexacode Teknologi Indonesia,"Tangerang Selatan,Banten",Rp 5 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),MongoDB | +11,0
Full Stack Developer,PT SUKA PROFIT BERKAH,"Bogor,Jawa Barat",Rp 3 jt-5 jt,Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),PostgreSQL | +9,0
